timestamp,node_id,thickness_mm,temperature_c,air_pressure_hpa,moisture_percent,vibration_mps2
2026-09-18 10:00:00,NODE_01,50.0,62.4,1012.2,35,0.12
2026-09-18 10:00:30,NODE_01,50.0,62.7,1012.6,36,0.14
2026-09-18 10:01:00,NODE_01,50.0,62.5,1012.4,36,0.13
2026-09-18 10:01:30,NODE_01,50.0,63.1,1013.0,37,0.16
2026-09-18 10:02:00,NODE_01,50.0,63.4,1012.7,38,0.15
2026-09-18 10:02:30,NODE_01,49.95,63.8,1013.2,39,0.19
2026-09-18 10:03:00,NODE_01,49.9,63.6,1013.0,40,0.18
2026-09-18 10:03:30,NODE_01,49.85,64.1,1012.8,40,0.21
2026-09-18 10:04:00,NODE_01,49.8,64.4,1013.4,41,0.23
2026-09-18 10:04:30,NODE_01,49.75,64.0,1013.1,42,0.22
2026-09-18 10:05:00,NODE_01,49.7,64.7,1013.6,43,0.25
2026-09-18 10:05:30,NODE_01,49.65,65.0,1013.3,43,0.27
2026-09-18 10:06:00,NODE_01,49.6,64.8,1013.8,44,0.26
2026-09-18 10:06:30,NODE_01,49.55,65.3,1013.5,45,0.29
2026-09-18 10:07:00,NODE_01,49.5,65.6,1014.0,46,0.31
2026-09-18 10:07:30,NODE_01,49.45,65.2,1013.7,46,0.3
2026-09-18 10:08:00,NODE_01,49.4,65.8,1014.2,47,0.33
2026-09-18 10:08:30,NODE_01,49.35,66.0,1013.9,48,0.35
2026-09-18 10:09:00,NODE_01,49.3,65.7,1014.4,48,0.34
2026-09-18 10:09:30,NODE_01,49.25,66.2,1014.1,49,0.37
2026-09-18 10:10:00,NODE_01,49.2,66.4,1014.6,50,0.39
2026-09-18 10:10:30,NODE_01,49.15,66.1,1014.3,50,0.38
2026-09-18 10:11:00,NODE_01,49.1,66.6,1014.8,51,0.41
2026-09-18 10:11:30,NODE_01,49.05,66.8,1014.5,52,0.43
2026-09-18 10:12:00,NODE_01,49.0,66.5,1014.9,53,0.42
2026-09-18 10:12:30,NODE_01,48.95,67.0,1014.7,53,0.45
2026-09-18 10:13:00,NODE_01,48.9,67.2,1015.1,54,0.47
2026-09-18 10:13:30,NODE_01,48.85,66.9,1014.8,55,0.46
2026-09-18 10:14:00,NODE_01,48.8,67.4,1015.2,56,0.49
2026-09-18 10:14:30,NODE_01,48.75,67.6,1015.0,57,0.51
